hey,9
Imman,10
ale,10
marga,8
Joey,9
Gemwil,10
Vicent,7
Jane,10
pord,9
yooo,10
user,10
blu,10
Lira,10
eian,10
Saxor,9
uriel,8
derwin,8
dabyo,3
beyy,6
yowww,7
eyyow,8
mennn,9
jsgsf,10
mkdir,10
